Time,Average,Washington Post, Daily Mail, Fox News,The Guardian, New York Times
199,0.000716764,0.001189358,0,0.00094162,0.000191241,0.000453309
200,0.000630752,0.000625978,0,0.002589454,0.000191241,0
201,0.000458729,0.000751174,0,0.00047081,0.000382482,0
202,0.000716764,0.001189358,0.00027697,0.00094162,0,0
203,0.00051607,0.000688576,0.000138485,0.000706215,0.000382482,0.000453309
204,0.000487399,0.000625978,0.000138485,0.001177024,0.000191241,0
205,0.000315376,0.000312989,0,0.000706215,0.000573723,0
206,0.00051607,0.000751174,0,0.001177024,0.000191241,0
207,0.000372717,0.000500782,0,0.000706215,0.000191241,0.000453309
208,0.000430058,0.00056338,0.000138485,0.00047081,0.000382482,0.000453309
209,0.00051607,0.000688576,0.000138485,0.000706215,0.000573723,0
210,0.000458729,0.00056338,0,0.00094162,0.000573723,0
211,0.000688093,0.000625978,0.00055394,0.001412429,0.000764965,0
212,0.000602081,0.000625978,0.000138485,0.001412429,0.000764965,0
213,0.000372717,0.000625978,0,0.00047081,0.000191241,0
214,0.000602081,0.000813772,0,0.001412429,0.000382482,0
215,0.000716764,0.000876369,0.000138485,0.001647834,0.000573723,0
216,0.000860116,0.000938967,0,0.003060264,0.000382482,0
217,0.000602081,0.001001565,0.000138485,0.00047081,0.000382482,0
218,0.00051607,0.000688576,0.000138485,0.001412429,0,0
219,0.000458729,0.00056338,0,0.001177024,0.000382482,0
220,0.000630752,0.000688576,0,0.002118644,0.000382482,0
221,0.000458729,0.000688576,0,0.001177024,0,0
222,0.000688093,0.000876369,0,0.001883239,0.000382482,0
223,0.00051607,0.000813772,0.00027697,0.000706215,0,0
224,0.000315376,0.000312989,0,0.00094162,0.000191241,0.000453309
225,0.000573411,0.000813772,0.00027697,0.000706215,0.000191241,0.000453309
226,0.00051607,0.000688576,0.000138485,0.001412429,0,0
227,0.000458729,0.000688576,0,0.00094162,0.000191241,0
228,0.000659423,0.000938967,0,0.001883239,0,0
229,0.000688093,0.001001565,0.000138485,0.001412429,0.000191241,0
230,0.000487399,0.00056338,0,0.001177024,0.000382482,0.000453309
231,0.000716764,0.000876369,0.000138485,0.002118644,0.000191241,0
232,0.000888787,0.001189358,0.000138485,0.001412429,0.000956206,0
233,0.000458729,0.000500782,0.00027697,0.000706215,0.000573723,0
234,0.000602081,0.000625978,0,0.001412429,0.000956206,0
235,0.000573411,0.000813772,0,0.00094162,0.000382482,0.000453309
236,0.000716764,0.000938967,0.000138485,0.002118644,0,0
237,0.000659423,0.000751174,0.000138485,0.001883239,0,0.000906618
238,0.000831446,0.001064163,0.000138485,0.001883239,0.000573723,0
239,0.000688093,0.000688576,0.00027697,0.001883239,0.000382482,0.000453309
240,0.000573411,0.000813772,0,0.001412429,0.000191241,0
